Designator,Mid X,Mid Y,Rotation,Layer
C10,23.25,12.0,0.0,top
C11,1.0,8.75,270.0,top
C12,36.75,12.0,0.0,top
C13,48.0,12.5,0.0,top
C14,1.0,12.25,270.0,top
C15,21.135,6.885,0.0,top
C16,9.5,15.25,90.0,top
C17,14.75,12.0,180.0,top
C18,16.75,11.0,90.0,top
C19,16.75,22.5,90.0,top
C2,27.75,10.0,90.0,top
C20,18.25,12.0,0.0,top
C21,19.0,22.25,90.0,top
C22,8.75,4.25,180.0,top
C44,51.0,22.0,180.0,top
C45,51.0,13.0,0.0,top
C46,23.25,13.5,0.0,top
C47,17.75,9.25,0.0,top
C48,19.0,10.75,0.0,top
C49,21.25,21.75,0.0,top
C50,13.75,9.75,270.0,top
C51,8.0,16.0,90.0,top
C8,42.25,18.0,180.0,top
C9,25.75,9.5,90.0,top
D1,7.75,20.25,90.0,top
D6,44.0,22.5,180.0,top
FB1,34.5,12.0,0.0,top
FB2,48.0,13.75,180.0,top
J1,32.5,26.5,270.0,bottom
J2,29.77,19.21,0.0,top
J3,34.75,19.21,0.0,top
J4,3.48,18.54,0.0,top
LED2,26.5,0.75,180.0,top
OSC1,5.0,8.75,0.0,top
R1,15.135,7.135,0.0,top
R10,2.25,8.75,90.0,top
R11,8.25,9.5,0.0,top
R12,22.75,19.75,0.0,top
R13,22.75,17.75,0.0,top
R14,22.75,18.75,0.0,top
R15,12.5,10.75,270.0,top
R16,11.5,10.75,270.0,top
R17,11.0,4.25,180.0,top
R18,26.0,3.5,270.0,top
R19,28.0,3.5,270.0,top
R2,8.25,13.0,0.0,top
R20,27.0,3.5,270.0,top
R24,40.25,22.5,180.0,top
R25,9.75,18.0,270.0,top
R3,47.0,18.5,180.0,top
R4,47.0,20.5,180.0,top
R43,43.9,10.1,270.0,top
R44,39.5,19.5,90.0,top
R45,15.25,9.75,90.0,top
R5,2.25,12.25,90.0,top
R57,51.0,15.0,0.0,top
R58,51.0,16.5,180.0,top
R6,23.635,2.885,180.0,top
R7,18.635,6.885,180.0,top
R8,23.635,3.885,180.0,top
R9,15.25,22.5,270.0,top
SW1,10.0,1.75,180.0,top
U1,37.5,7.43,0.0,top
U10,50.5,19.5,0.0,top
U2,23.25,9.5,270.0,top
U4,17.885,3.385,270.0,top
U5,42.25,14.75,0.0,top
U6,51.0,7.43,0.0,top
U8,16.0,17.25,0.0,top
USBC1,59.205,17.0,90.0,top
X1,5.0,12.25,0.0,top
